Nombre,URL,Nombre_limpio,Latitud,Longitud
MONASTERIO DE PLA DE SES FIGUERES,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/monasterio-de-pla-de-ses-figueres/,MONASTERIO DE PLA DE SES FIGUERES,,
COMPLEJO RELIGIOSO CRISTIANO DE MÉRTOLA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/complejo-religioso-cristiano-de-mertola/,COMPLEJO RELIGIOSO CRISTIANO DE MÉRTOLA,37.6415148,-7.6606665
SANTA MARÍA DE LOS ARCOS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-mara-de-los-arcos-20130211130235/,SANTA MARÍA DE LOS ARCOS,42.4029005,-2.710961
Puerta de Sevilla,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/puerta-de-sevilla-20130303021658/,Puerta de Sevilla,37.8752804,-4.7856268
BASÍLICA DE VEGA DE MAR,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/baslica-de-vega-de-mar-20130209182237/,BASÍLICA DE VEGA DE MAR,36.4722281,-4.9904246
BASILICA DE LA ALCUDIA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/bas-lica-de-elche-20130302201748/,BASILICA DE LA ALCUDIA,39.1974843,-0.5045206
YACIMIENTO DE EL BOVALAR,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/69081/,YACIMIENTO DE EL BOVALAR,41.4549684,0.4270697
CENTRO ARQUEOLOGICO DE L’ALMOINA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/centro-arqueologico-de-lalmoina/,CENTRO ARQUEOLOGICO DE LALMOINA,39.4762551,-0.3741593
MEZQUITA DE CÓRDOBA. COMPLEJO DE SAN VICENTE MÁRTIR,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/mezquita-de-cordoba-complejo-de-san-vicente-martir/,MEZQUITA DE CÓRDOBA COMPLEJO DE SAN VICENTE MÁRTIR,37.8789056,-4.7793869
SANTA MARGARIDA DEL PRIORAT DE SANT GENÍS DE ROCAFORT,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-margarida-del-priorat-de-sant-genis-de-rocafort/,SANTA MARGARIDA DEL PRIORAT DE SANT GENÍS DE ROCAFORT,41.4653928,1.923516
BAPTISTERIO DE GABIA GRANDE,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/20130209171107/,BAPTISTERIO DE GABIA GRANDE,37.136389,-3.669167
IDANHA-A-VELHA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/idanha-a-velha/,IDANHAAVELHA,40.0014856,-7.1520926
YACIMIENTO ARQUEOLÓGICO DE EL MONASTIL,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/yacimiento-arqueologici-de-el-monastil/,YACIMIENTO ARQUEOLÓGICO DE EL MONASTIL,38.4937951,-0.7962187
VALENCIA LA VELLA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/valencia-la-vella/,VALENCIA LA VELLA,39.5300944,-0.5317525
BASILICA DE ALGEZARES,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/bas-lica-de-algezares-20130302144011/,BASILICA DE ALGEZARES,37.9465271,-1.1053511
ERMITA DE SANTA MARÍA DE VALCAMINO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/ermita-de-santa-mara-de-valcamino-20160317212456/,ERMITA DE SANTA MARÍA DE VALCAMINO,42.1244833,-3.4730483
CARTAGHO SPARTARIA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/cartagho-spartaria/,CARTAGHO SPARTARIA,37.6253022,-0.9972219
RECÓPOLIS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/recpolis-20130212105615/,RECÓPOLIS,40.3218763,-2.8893961
SANTA EULALIA DE BÓVEDA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-eulalia-de-bveda-20130209014644/,SANTA EULALIA DE BÓVEDA,42.9801861,-7.686046999999999
BASÍLICA DE EIO (Tolmo de Minateda),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/baslica-de-eio-tolmo-de-minateda-20130211190925/,BASÍLICA DE EIO,38.4754877,-1.6055986
BASILICA DEL ANFITEATRO DE TARRAGONA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/basilica-del-anfiteatro-de-tarragona/,BASILICA DEL ANFITEATRO DE TARRAGONA,41.1145526,1.2588308
XENODOQUIO DE MÉRIDA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/xenodoquio-de-merida/,XENODOQUIO DE MÉRIDA,38.9394272,-6.365157
YACIMIENTO ARQUEOLÓGICO DE ORETO-ZUQUECA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/yacimiento-arqueologico-de-oreto-zuqueca/,YACIMIENTO ARQUEOLÓGICO DE ORETOZUQUECA,38.7597647,-3.7182634
BASÍLICA DE ALCONÉTAR,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/basilica-de-alconetar/,BASÍLICA DE ALCONÉTAR,,
BASILICA DEL GERMO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/bas-lica-de-el-germo-20130302204138/,BASILICA DEL GERMO,41.89759859999999,12.4984084
NECROPOLIS DE LOS REMEDIOS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/necropolis-de-los-remedios/,NECROPOLIS DE LOS REMEDIOS,40.7031639,-3.7692456
SANTA MARIA DE MIJANGOS,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/santa-mar-a-de-mijangos-20130303111000/,SANTA MARIA DE MIJANGOS,42.821275,-3.419374
YACIMIENTO ARQUEOLÓGICO DE NAVALVILLAR Y NAVALAHIJA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/yacimiento-arqueologico-de-navalvillar-y-navalahija/,YACIMIENTO ARQUEOLÓGICO DE NAVALVILLAR Y NAVALAHIJA,40.7007046,-3.7507522
IGLESIA VISIGODA DE MORÓN DE LA FRONTERA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/iglesia-visigoda-de-moron-de-la-frontera/,IGLESIA VISIGODA DE MORÓN DE LA FRONTERA,37.1211901,-5.4541928
Puente de Pinos,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/puente-de-pinos-20130303015924/,Puente de Pinos,37.2514515,-3.7496132
SAN JUAN BAUTISTA DE BURGUILLOS DEL CERRO,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-juan-bautista-de-burguillos-del-cerro/,SAN JUAN BAUTISTA DE BURGUILLOS DEL CERRO,38.3800832,-6.590351399999999
YACIMIENTO DE GUARRAZAR,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/yacimiento-de-guarrazar-20151123123931/,YACIMIENTO DE GUARRAZAR,39.814739,-4.118818
MUSEO DE ARTE VISIGODO DE MÉRIDA,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/museo-de-arte-visigodo-de-merida/,MUSEO DE ARTE VISIGODO DE MÉRIDA,38.9394272,-6.365157
SAN JUAN BAUTISTA DE BARBADILLO DEL MERCADO (R),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/san-juan-bautista-de-barbadillo-del-mercado-r/,SAN JUAN BAUTISTA DE BARBADILLO DEL MERCADO,42.0332625,-3.3593216
Corduba (Córdoba),https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/corduba-cordoba/,Corduba,37.8893025,-4.779275300000001
MONASTERIO DE GUARRAZAR,https://www.turismo-prerromanico.com/home-b__trashed-2__trashed-2__trashed-2-2-2/monumento/monasterio-de-guarrazar/,MONASTERIO DE GUARRAZAR,39.814739,-4.118818
